UEI,Start Date,End Date,Duration(Days),Main Cause,Location,Districts,State,Latitude,Longitude,Severity,Area Affected,Human fatality,Human injured,Human Displaced,Animal Fatality,Description of Casualties/injured,Extent of damage ,Event Source,Event Souce ID,year
UEI-EM-DAT-FL-1989-0001,1989-07-28,1989-07-28,0,Riverine flood,"['Maharashtra', ' Andhra Pradesh', ' Gujarat']",,,,,,,,,,,,,EM-DAT,1989-0091,1989
UEI-EM-DAT-FL-1989-0002,/08/1989,/08/1989,Diffing the dates,Riverine flood,"['Assam', ' Arunachal Pradesh', ' Manipur', ' Mizorem']",,,,,,,,,,,,,EM-DAT,1989-0260,1989
UEI-EM-DAT-FL-1990-0001,1990-03-21,1990-03-22,1,Flash flood,"['Jammu', ' Kargil district (Kashmir)']",,,,,,,,,,,,,EM-DAT,1990-0103,1990
UEI-EM-DAT-FL-1990-0002,1990-10-24,1990-10-28,4,Riverine flood,['Tami Nadu state'],,,,,,,,,,,,,EM-DAT,1990-0414,1990
UEI-EM-DAT-FL-1990-0004,1990-06-13,1990-06-18,5,Riverine flood,['Bombay (Assam state)'],,,,,,,,,,,,,EM-DAT,1990-0714,1990
UEI-EM-DAT-FL-1991-0001,1991-07-13,1991-07-19,6,Coastal flood,"['Assam', ' Meghalaya states']",,,,,,,,,,,,,EM-DAT,1991-0189,1991
UEI-EM-DAT-FL-1991-0002,1991-06-10,1991-06-12,2,Riverine flood,"['Bombay', ' Kerala', ' Gujarat']",,,,,,,,,,,,,EM-DAT,1991-0278,1991
UEI-EM-DAT-FL-1991-0003,1991-05-07,1991-05-08,1,Coastal flood,"['Assam', ' Tripura', ' Arunachal', ' Mizorem']",,,,,,,,,,,,,EM-DAT,1991-0338,1991
UEI-EM-DAT-FL-1991-0004,1991-10-30,1991-10-30,0,Riverine flood,[' Near Thondebhavi (Karnataka)'],,,,,,,,,,,,,EM-DAT,1991-0431,1991
UEI-EM-DAT-FL-1991-0005,1991-06-01,1991-07-09,38,Riverine flood,['Kerala state'],,,,,,,,,,,,,EM-DAT,1991-0509,1991
